Player,Squad,Comp
Ayoube Amaimouni,Frankfurt,de Bundesliga
Kelvin Amian,Nantes,fr Ligue 1
Frank Anguissa,Napoli,it Serie A
Ridle Baku,RB Leipzig,de Bundesliga
Altay Bayındır,Manchester Utd,eng Premier League
Hannes Behrens,Heidenheim,de Bundesliga
Lucas Beraldo,PSG,fr Ligue 1
Rahim Bonkano,Oviedo,es La Liga
Brugui,Levante,es La Liga
Igor Carioca,Lorient,fr Ligue 1
Kevin Carlos,Nice,fr Ligue 1
Álvaro Carreras,Real Madrid,es La Liga
Santi Cazorla,Oviedo,es La Liga
Chema,Stuttgart,de Bundesliga
Cucho,Real Betis,es La Liga
Jair Cunha,Nottingham,eng Premier League
Enrico Delprato,Parma,it Serie A
Amad Diallo,Manchester Utd,eng Premier League
Eren Dinkçi,Heidenheim,de Bundesliga
Berat Djimsiti,Atalanta,it Serie A
Adam Dźwigała,St Pauli,de Bundesliga
Yannik Engelhardt,Gladbach,de Bundesliga
Aarón Escandell,Oviedo,es La Liga
Pervis Estupiñán,Milan,it Serie A
Karl Etta Eyong,Levante,es La Liga
Toti Gomes,Wolves,eng Premier League
Rafael Gonçalves,Strasbourg,fr Ligue 1
Albert Grønbaek,Hamburger SV,de Bundesliga
Albert Guðmundsson,Fiorentina,it Serie A
Hwang Hee-chan,Wolves,eng Premier League
Malthe Hojholt,Pisa,it Serie A
Kwon Hyeokkyu,Nantes,fr Ligue 1
Oliver Jensen,Parma,it Serie A
Ísak Jóhannesson,Köln,de Bundesliga
Arnaud Kalimuendo,Frankfurt,de Bundesliga
Semih Kılıçsoy,Cagliari,it Serie A
Tino Livramento,Newcastle,eng Premier League
Danny Loader,Auxerre,fr Ligue 1
Javi López,Oviedo,es La Liga
Marius Louer,Angers,fr Ligue 1
Ruslan Malinovskyi,Genoa,it Serie A
João Mário Lopes,Bologna,it Serie A
Joaquín Martínez Gauna,Sevilla,es La Liga
Jean Mattéo Bahoya,Frankfurt,de Bundesliga
Joakim Mæhle,Wolfsburg,de Bundesliga
Obite N'Dicka,Roma,it Serie A
Abdoulaye Ndiaye,Parma,it Serie A
Tanguy Nianzou,Sevilla,es La Liga
Oliver Nielsen,Lazio,it Serie A
M'Bala Nzola,Pisa,it Serie A
M'Bala Nzola,Sassuolo,it Serie A
Willian Pacho,PSG,fr Ligue 1
Isaac Palazón Camacho,Rayo Vallecano,es La Liga
Thiago Pinar,Real Madrid,es La Liga
Gio Reyna,Gladbach,de Bundesliga
Javi Rodríguez,Celta Vigo,es La Liga
Fabián Ruiz Peña,PSG,fr Ligue 1
Frederik Rønnow,Union Berlin,de Bundesliga
Matvei Safonov,PSG,fr Ligue 1
Ibrahim Sulemana,Cagliari,it Serie A
Musa Al-Taamari,Rennes,fr Ligue 1
Viktor Tsyhankov,Girona,es La Liga
Josha Vagnoman,Stuttgart,de Bundesliga
José Luis García Vayá,Valencia,es La Liga
Luca Waldschmidt,Köln,de Bundesliga
Yehor Yarmoliuk,Brentford,eng Premier League
Kenan Yıldız,Juventus,it Serie A
Ali Yousuf,Nantes,fr Ligue 1
Jan Ziółkowski,Roma,it Serie A
Martin Ødegaard,Arsenal,eng Premier League
