Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec,Matches
700,Habib Diarra,sn SEN,MF,Sunderland,eng Premier League,21,2004,15.6,,,,,,,,,,,,,,,,,,,,,Matches
701,Moussa Diarra,ml MLI,DF,Alavés,es La Liga,24,2000,2.4,,,,,,,,,,,,,,,,,,,,,Matches
702,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,28,1997,23.8,,,,,,,,,,,,,,,,,,,,,Matches
703,Alassane Diatta,sn SEN,MF,Villarreal,es La Liga,20,2005,0.3,,,,,,,,,,,,,,,,,,,,,Matches
704,Bane Diatta,fr FRA,MF,Angers,fr Ligue 1,17,2008,0.1,,,,,,,,,,,,,,,,,,,,,Matches
705,Krépin Diatta,sn SEN,"MF,DF",Monaco,fr Ligue 1,26,1999,11.3,,,,,,,,,,,,,,,,,,,,,Matches
706,Mory Diaw,sn SEN,GK,Le Havre,fr Ligue 1,32,1993,29.5,,,,,,,,,,,,,,,,,,,,,Matches
707,Brahim Díaz,ma MAR,"FW,MF",Real Madrid,es La Liga,25,1999,14.0,,,,,,,,,,,,,,,,,,,,,Matches
708,Daniel Díaz,es ESP,FW,Real Sociedad,es La Liga,19,2006,0.2,,,,,,,,,,,,,,,,,,,,,Matches
709,Julio Diaz,es ESP,DF,Atlético Madrid,es La Liga,20,2005,3.4,,,,,,,,,,,,,,,,,,,,,Matches
710,Junior Diaz,ci CIV,DF,Brest,fr Ligue 1,22,2003,17.4,,,,,,,,,,,,,,,,,,,,,Matches
711,Luis Díaz,co COL,MF,Bayern Munich,de Bundesliga,28,1997,27.2,,,,,,,,,,,,,,,,,,,,,Matches
712,Pedro Díaz,es ESP,MF,Rayo Vallecano,es La Liga,27,1998,20.8,,,,,,,,,,,,,,,,,,,,,Matches
713,Tyler Dibling,eng ENG,MF,Everton,eng Premier League,19,2006,4.0,,,,,,,,,,,,,,,,,,,,,Matches
714,Nouha Dicko,ml MLI,"FW,MF",Paris FC,fr Ligue 1,33,1992,0.8,,,,,,,,,,,,,,,,,,,,,Matches
715,Yaya Diémé,sn SEN,FW,Strasbourg,fr Ligue 1,17,2007,1.7,,,,,,,,,,,,,,,,,,,,,Matches
716,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,25,2000,13.5,,,,,,,,,,,,,,,,,,,,,Matches
717,Eric Dier,eng ENG,DF,Monaco,fr Ligue 1,31,1994,7.6,,,,,,,,,,,,,,,,,,,,,Matches
718,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,32,1993,20.6,,,,,,,,,,,,,,,,,,,,,Matches
719,Kevin Diks,id IDN,DF,Gladbach,de Bundesliga,28,1996,27.4,,,,,,,,,,,,,,,,,,,,,Matches
720,Federico Dimarco,it ITA,MF,Inter,it Serie A,27,1997,30.0,,,,,,,,,,,,,,,,,,,,,Matches
721,Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,31,1993,20.0,,,,,,,,,,,,,,,,,,,,,Matches
722,Junior Dina Ebimbe,cm CMR,MF,Brest,fr Ligue 1,24,2000,12.9,,,,,,,,,,,,,,,,,,,,,Matches
723,Eren Dinkçi,de GER,"MF,FW",Heidenheim,de Bundesliga,23,2001,12.6,,,,,,,,,,,,,,,,,,,,,Matches
724,Eren Dinkçi,de GER,MF,Freiburg,de Bundesliga,23,2001,2.8,,,,,,,,,,,,,,,,,,,,,Matches
725,Sinaly Diomande,ci CIV,DF,Auxerre,fr Ligue 1,24,2001,23.7,,,,,,,,,,,,,,,,,,,,,Matches
726,Yan Diomandé,ci CIV,"FW,MF",RB Leipzig,de Bundesliga,18,2006,27.5,,,,,,,,,,,,,,,,,,,,,Matches
727,Issa Diop,ma MAR,DF,Fulham,eng Premier League,28,1997,9.1,,,,,,,,,,,,,,,,,,,,,Matches
728,Sérigné Diop,sn SEN,FW,Brest,fr Ligue 1,20,2005,0.1,,,,,,,,,,,,,,,,,,,,,Matches
729,Sofiane Diop,ma MAR,"MF,FW",Nice,fr Ligue 1,25,2000,23.7,,,,,,,,,,,,,,,,,,,,,Matches
730,Andy Diouf,fr FRA,MF,Inter,it Serie A,22,2003,5.5,,,,,,,,,,,,,,,,,,,,,Matches
731,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,22,2003,1.0,,,,,,,,,,,,,,,,,,,,,Matches
732,El Hadji Malick Diouf,sn SEN,"DF,MF",West Ham,eng Premier League,20,2004,30.1,,,,,,,,,,,,,,,,,,,,,Matches
733,Yehvann Diouf,sn SEN,GK,Nice,fr Ligue 1,25,1999,26.0,,,,,,,,,,,,,,,,,,,,,Matches
734,Assane Dioussé,sn SEN,MF,Auxerre,fr Ligue 1,27,1997,2.4,,,,,,,,,,,,,,,,,,,,,Matches
735,Axel Disasi,fr FRA,DF,West Ham,eng Premier League,27,1998,13.9,,,,,,,,,,,,,,,,,,,,,Matches
736,Matías Dituro,ar ARG,GK,Elche,es La Liga,38,1987,22.0,,,,,,,,,,,,,,,,,,,,,Matches
737,Djené,tg TOG,"DF,MF",Getafe,es La Liga,33,1991,28.6,,,,,,,,,,,,,,,,,,,,,Matches
738,Harouna Djibrin,cm CMR,MF,Angers,fr Ligue 1,18,2006,3.7,,,,,,,,,,,,,,,,,,,,,Matches
739,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,32,1993,28.1,,,,,,,,,,,,,,,,,,,,,Matches
740,Marko Dmitrović,rs SRB,GK,Espanyol,es La Liga,33,1992,37.0,,,,,,,,,,,,,,,,,,,,,Matches
741,Henrick Do Marcolino,fr FRA,FW,Rennes,fr Ligue 1,19,2006,0.0,,,,,,,,,,,,,,,,,,,,,Matches
742,Ritsu Doan,jp JPN,MF,Frankfurt,de Bundesliga,27,1998,26.3,,,,,,,,,,,,,,,,,,,,,Matches
743,Dodô,br BRA,"DF,MF",Fiorentina,it Serie A,26,1998,34.8,,,,,,,,,,,,,,,,,,,,,Matches
744,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,27,1998,34.0,,,,,,,,,,,,,,,,,,,,,Matches
745,Matt Doherty,ie IRL,"DF,MF",Wolves,eng Premier League,33,1992,8.7,,,,,,,,,,,,,,,,,,,,,Matches
746,Josh Doig,sct SCO,DF,Sassuolo,it Serie A,23,2002,21.3,,,,,,,,,,,,,,,,,,,,,Matches
747,Jeremy Doku,be BEL,"MF,FW",Manchester City,eng Premier League,23,2002,19.8,,,,,,,,,,,,,,,,,,,,,Matches
748,Tyrhys Dolan,eng ENG,MF,Espanyol,es La Liga,23,2001,26.8,,,,,,,,,,,,,,,,,,,,,Matches
749,Marc Domenech,es ESP,MF,Mallorca,es La Liga,19,2006,2.4,,,,,,,,,,,,,,,,,,,,,Matches
750,Benjamín Domínguez,ar ARG,MF,Bologna,it Serie A,21,2003,6.1,,,,,,,,,,,,,,,,,,,,,Matches
751,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,24,2001,6.8,,,,,,,,,,,,,,,,,,,,,Matches
752,Nicolás Domínguez,ar ARG,MF,Nottingham,eng Premier League,27,1998,13.1,,,,,,,,,,,,,,,,,,,,,Matches
753,Jean-Luc Dompé,fr FRA,"FW,MF",Hamburger SV,de Bundesliga,29,1995,12.6,,,,,,,,,,,,,,,,,,,,,Matches
754,John Donald,es ESP,"DF,MF",Elche,es La Liga,24,2000,7.4,,,,,,,,,,,,,,,,,,,,,Matches
755,Gianluigi Donnarumma,it ITA,GK,Manchester City,eng Premier League,26,1999,34.0,,,,,,,,,,,,,,,,,,,,,Matches
756,Romelle Donovan,eng ENG,FW,Brentford,eng Premier League,18,2006,0.5,,,,,,,,,,,,,,,,,,,,,Matches
757,Patrick Dorgu,dk DEN,MF,Manchester Utd,eng Premier League,20,2004,16.1,,,,,,,,,,,,,,,,,,,,,Matches
758,Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,27,1998,25.1,,,,,,,,,,,,,,,,,,,,,Matches
759,Alberto Dossena,it ITA,DF,Cagliari,it Serie A,26,1998,9.5,,,,,,,,,,,,,,,,,,,,,Matches
760,Lohann Doucet,bf BFA,MF,Paris FC,fr Ligue 1,22,2002,1.3,,,,,,,,,,,,,,,,,,,,,Matches
761,Fodé Doucouré,ml MLI,"MF,FW",Le Havre,fr Ligue 1,24,2001,13.8,,,,,,,,,,,,,,,,,,,,,Matches
762,Mamedi Doucouré,fr FRA,DF,Genoa,it Serie A,18,2007,0.1,,,,,,,,,,,,,,,,,,,,,Matches
763,Sékou Doucoure,fr FRA,DF,Nantes,fr Ligue 1,20,2005,0.5,,,,,,,,,,,,,,,,,,,,,Matches
764,Désiré Doué,fr FRA,"FW,MF",PSG,fr Ligue 1,20,2005,15.0,,,,,,,,,,,,,,,,,,,,,Matches
765,Guéla Doué,ci CIV,"DF,MF",Strasbourg,fr Ligue 1,22,2002,22.9,,,,,,,,,,,,,,,,,,,,,Matches
766,Ismaël Doukouré,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,22,2003,23.0,,,,,,,,,,,,,,,,,,,,,Matches
767,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,22,2003,19.4,,,,,,,,,,,,,,,,,,,,,Matches
768,Anastasios Douvikas,gr GRE,FW,Como,it Serie A,25,1999,25.3,,,,,,,,,,,,,,,,,,,,,Matches
769,Artem Dovbyk,ua UKR,FW,Roma,it Serie A,28,1997,4.4,,,,,,,,,,,,,,,,,,,,,Matches
770,Max Dowman,eng ENG,MF,Arsenal,eng Premier League,15,2009,1.7,,,,,,,,,,,,,,,,,,,,,Matches
771,Damion Downs,us USA,FW,Hamburger SV,de Bundesliga,21,2004,6.0,,,,,,,,,,,,,,,,,,,,,Matches
772,Radu Drăgușin,ro ROU,DF,Tottenham,eng Premier League,23,2002,5.7,,,,,,,,,,,,,,,,,,,,,Matches
773,Joél Drakes-Thomas,eng ENG,MF,Crystal Palace,eng Premier League,16,2009,0.1,,,,,,,,,,,,,,,,,,,,,Matches
774,Domingos Duarte,pt POR,DF,Getafe,es La Liga,30,1995,32.5,,,,,,,,,,,,,,,,,,,,,Matches
775,Martin Dúbravka,sk SVK,GK,Burnley,eng Premier League,36,1989,35.0,,,,,,,,,,,,,,,,,,,,,Matches
776,Denzel Dumfries,nl NED,MF,Inter,it Serie A,29,1996,14.7,,,,,,,,,,,,,,,,,,,,,Matches
777,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,33,1991,31.5,,,,,,,,,,,,,,,,,,,,,Matches
778,Maxime Dupé,fr FRA,GK,Nice,fr Ligue 1,32,1993,8.0,,,,,,,,,,,,,,,,,,,,,Matches
779,Pablo Durán,es ESP,"FW,MF",Celta Vigo,es La Liga,24,2001,15.8,,,,,,,,,,,,,,,,,,,,,Matches
780,Hugo Duro,es ESP,FW,Valencia,es La Liga,25,1999,22.0,,,,,,,,,,,,,,,,,,,,,Matches
781,Rafiu Durosinmi,ng NGA,FW,Pisa,it Serie A,22,2003,4.8,,,,,,,,,,,,,,,,,,,,,Matches
782,Paulo Dybala,ar ARG,"MF,FW",Roma,it Serie A,31,1993,15.0,,,,,,,,,,,,,,,,,,,,,Matches
783,Edin Džeko,ba BIH,FW,Fiorentina,it Serie A,39,1986,2.7,,,,,,,,,,,,,,,,,,,,,Matches
784,Adam Dźwigała,pl POL,DF,St Pauli,de Bundesliga,29,1995,14.3,,,,,,,,,,,,,,,,,,,,,Matches
785,Aron Dønnum,no NOR,MF,Toulouse,fr Ligue 1,27,1998,26.9,,,,,,,,,,,,,,,,,,,,,Matches
786,George Earthy,eng ENG,MF,West Ham,eng Premier League,20,2004,0.1,,,,,,,,,,,,,,,,,,,,,Matches
787,Younes Ebnoutalib,de GER,FW,Frankfurt,de Bundesliga,21,2003,1.5,,,,,,,,,,,,,,,,,,,,,Matches
788,Simon Ebonog,cm CMR,MF,Le Havre,fr Ligue 1,20,2004,19.5,,,,,,,,,,,,,,,,,,,,,Matches
789,Enzo Ebosse,cm CMR,DF,Hellas Verona,it Serie A,26,1999,2.4,,,,,,,,,,,,,,,,,,,,,Matches
790,Enzo Ebosse,cm CMR,DF,Torino,it Serie A,26,1999,12.4,,,,,,,,,,,,,,,,,,,,,Matches
791,Claudio Echeverri,ar ARG,"FW,MF",Girona,es La Liga,19,2006,6.9,,,,,,,,,,,,,,,,,,,,,Matches
792,Claudio Echeverri,ar ARG,MF,Leverkusen,de Bundesliga,19,2006,1.5,,,,,,,,,,,,,,,,,,,,,Matches
793,Noah Edjouma,fr FRA,FW,Toulouse,fr Ligue 1,19,2005,2.8,,,,,,,,,,,,,,,,,,,,,Matches
794,Noah Edjouma,fr FRA,MF,Lille,fr Ligue 1,19,2005,1.0,,,,,,,,,,,,,,,,,,,,,Matches
795,Andrias Edmundsson,fo FRO,DF,Hellas Verona,it Serie A,24,2000,14.7,,,,,,,,,,,,,,,,,,,,,Matches
796,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,27,1998,0.0,,,,,,,,,,,,,,,,,,,,,Matches
797,Odsonne Édouard,fr FRA,FW,Lens,fr Ligue 1,27,1998,20.0,,,,,,,,,,,,,,,,,,,,,Matches
798,Tom Edozie,eng ENG,MF,Wolves,eng Premier League,19,2006,0.2,,,,,,,,,,,,,,,,,,,,,Matches
799,Yannick Eduardo,cz CZE,FW,Hoffenheim,de Bundesliga,19,2006,0.0,,,,,,,,,,,,,,,,,,,,,Matches
800,Marcus Edwards,eng ENG,"MF,FW",Burnley,eng Premier League,26,1998,11.9,,,,,,,,,,,,,,,,,,,,,Matches
801,CJ Egan-Riley,eng ENG,"DF,MF",Marseille,fr Ligue 1,22,2003,6.9,,,,,,,,,,,,,,,,,,,,,Matches
802,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,28,1996,34.0,,,,,,,,,,,,,,,,,,,,,Matches
803,Kingsley Ehizibue,nl NED,"MF,DF",Udinese,it Serie A,30,1995,20.1,,,,,,,,,,,,,,,,,,,,,Matches
804,Ovie Ejaria,eng ENG,MF,Oviedo,es La Liga,27,1997,2.2,,,,,,,,,,,,,,,,,,,,,Matches
805,Chidera Ejuke,ng NGA,"MF,FW",Sevilla,es La Liga,27,1998,10.4,,,,,,,,,,,,,,,,,,,,,Matches
806,Hjalmar Ekdal,se SWE,DF,Burnley,eng Premier League,26,1998,17.1,,,,,,,,,,,,,,,,,,,,,Matches
807,Jeff Ekhator,it ITA,"FW,MF",Genoa,it Serie A,18,2006,10.6,,,,,,,,,,,,,,,,,,,,,Matches
808,Hugo Ekitike,fr FRA,FW,Liverpool,eng Premier League,23,2002,20.0,,,,,,,,,,,,,,,,,,,,,Matches
809,Jurgen Ekkelenkamp,nl NED,MF,Udinese,it Serie A,25,2000,24.3,,,,,,,,,,,,,,,,,,,,,Matches
810,Jacques Ekomie,ga GAB,"DF,MF",Angers,fr Ligue 1,21,2003,24.9,,,,,,,,,,,,,,,,,,,,,Matches
811,Caleb Ekuban,gh GHA,"FW,MF",Genoa,it Serie A,31,1994,11.0,,,,,,,,,,,,,,,,,,,,,Matches
812,Anthony Elanga,se SWE,"FW,MF",Newcastle,eng Premier League,23,2002,14.7,,,,,,,,,,,,,,,,,,,,,Matches
813,Daniel Elfadli,ly LBY,DF,Hamburger SV,de Bundesliga,28,1997,13.9,,,,,,,,,,,,,,,,,,,,,Matches
814,Unai Elgezabal,es ESP,"DF,MF",Levante,es La Liga,32,1993,10.6,,,,,,,,,,,,,,,,,,,,,Matches
815,Melker Ellborg,se SWE,GK,Sunderland,eng Premier League,22,2003,3.0,,,,,,,,,,,,,,,,,,,,,Matches
816,Mikael Ellertsson,is ISL,MF,Genoa,it Serie A,23,2002,30.7,,,,,,,,,,,,,,,,,,,,,Matches
817,Harvey Elliott,eng ENG,"FW,MF",Liverpool,eng Premier League,22,2003,0.0,,,,,,,,,,,,,,,,,,,,,Matches
818,Harvey Elliott,eng ENG,MF,Aston Villa,eng Premier League,22,2003,1.2,,,,,,,,,,,,,,,,,,,,,Matches
819,Elif Elmas,mk MKD,"MF,FW",Napoli,it Serie A,25,1999,19.8,,,,,,,,,,,,,,,,,,,,,Matches
820,Nesta Elphege,fr FRA,FW,Parma,it Serie A,24,2001,3.4,,,,,,,,,,,,,,,,,,,,,Matches
821,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,31,1994,8.0,,,,,,,,,,,,,,,,,,,,,Matches
822,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,28,1996,33.0,,,,,,,,,,,,,,,,,,,,,Matches
823,Breel Embolo,ch SUI,FW,Rennes,fr Ligue 1,28,1997,20.8,,,,,,,,,,,,,,,,,,,,,Matches
824,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,22,2003,4.9,,,,,,,,,,,,,,,,,,,,,Matches
825,Emersonn,br BRA,FW,Toulouse,fr Ligue 1,21,2004,16.7,,,,,,,,,,,,,,,,,,,,,Matches
826,Julio Enciso,py PAR,"MF,FW",Strasbourg,fr Ligue 1,21,2004,20.9,,,,,,,,,,,,,,,,,,,,,Matches
827,Wataru Endo,jp JPN,DF,Liverpool,eng Premier League,32,1993,1.9,,,,,,,,,,,,,,,,,,,,,Matches
828,Endrick,br BRA,FW,Real Madrid,es La Liga,19,2006,0.1,,,,,,,,,,,,,,,,,,,,,Matches
829,Endrick,br BRA,"FW,MF",Lyon,fr Ligue 1,19,2006,13.5,,,,,,,,,,,,,,,,,,,,,Matches
830,Yannik Engelhardt,de GER,MF,Gladbach,de Bundesliga,24,2001,27.6,,,,,,,,,,,,,,,,,,,,,Matches
831,Christian Eriksen,dk DEN,MF,Wolfsburg,de Bundesliga,33,1992,26.8,,,,,,,,,,,,,,,,,,,,,Matches
832,Aarón Escandell,es ESP,GK,Oviedo,es La Liga,29,1995,36.0,,,,,,,,,,,,,,,,,,,,,Matches
833,Xavi Espart,es ESP,DF,Barcelona,es La Liga,18,2007,1.8,,,,,,,,,,,,,,,,,,,,,Matches
834,Carlos Espí,es ESP,FW,Levante,es La Liga,20,2005,14.9,,,,,,,,,,,,,,,,,,,,,Matches
835,Alfonso Espino,uy URU,"DF,MF",Rayo Vallecano,es La Liga,33,1992,16.5,,,,,,,,,,,,,,,,,,,,,Matches
836,Francesco Esposito,it ITA,FW,Inter,it Serie A,20,2005,17.5,,,,,,,,,,,,,,,,,,,,,Matches
837,Sebastiano Esposito,it ITA,"FW,MF",Cagliari,it Serie A,23,2002,29.7,,,,,,,,,,,,,,,,,,,,,Matches
838,Romain Esse,eng ENG,MF,Crystal Palace,eng Premier League,20,2005,0.5,,,,,,,,,,,,,,,,,,,,,Matches
839,Samuel Essende,cd COD,"MF,FW",Augsburg,de Bundesliga,27,1998,4.6,,,,,,,,,,,,,,,,,,,,,Matches
840,Dario Essugo,pt POR,MF,Chelsea,eng Premier League,20,2005,0.3,,,,,,,,,,,,,,,,,,,,,Matches
841,Marco Esteban,es ESP,DF,Oviedo,es La Liga,19,2006,0.5,,,,,,,,,,,,,,,,,,,,,Matches
842,Maxime Estève,fr FRA,DF,Burnley,eng Premier League,23,2002,32.6,,,,,,,,,,,,,,,,,,,,,Matches
843,Tomás Esteves,pt POR,"DF,MF",Pisa,it Serie A,23,2002,0.2,,,,,,,,,,,,,,,,,,,,,Matches
844,Nahuel Estévez,ar ARG,MF,Parma,it Serie A,29,1995,11.7,,,,,,,,,,,,,,,,,,,,,Matches
845,Pervis Estupiñán,ec ECU,MF,Milan,it Serie A,27,1998,11.5,,,,,,,,,,,,,,,,,,,,,Matches
846,Karl Etta Eyong,cm CMR,FW,Villarreal,es La Liga,21,2003,2.8,,,,,,,,,,,,,,,,,,,,,Matches
847,Karl Etta Eyong,cm CMR,FW,Levante,es La Liga,21,2003,15.7,,,,,,,,,,,,,,,,,,,,,Matches
848,Evanilson,br BRA,FW,Bournemouth,eng Premier League,25,1999,30.5,,,,,,,,,,,,,,,,,,,,,Matches
849,Edu Expósito,es ESP,MF,Espanyol,es La Liga,28,1996,28.0,,,,,,,,,,,,,,,,,,,,,Matches
850,Eberechi Eze,eng ENG,"MF,FW",Arsenal,eng Premier League,27,1998,20.1,,,,,,,,,,,,,,,,,,,,,Matches
851,Eberechi Eze,eng ENG,MF,Crystal Palace,eng Premier League,27,1998,0.9,,,,,,,,,,,,,,,,,,,,,Matches
852,Abde Ezzalzouli,ma MAR,"MF,FW",Real Betis,es La Liga,23,2001,25.0,,,,,,,,,,,,,,,,,,,,,Matches
853,Giovanni Fabbian,it ITA,MF,Bologna,it Serie A,22,2003,7.8,,,,,,,,,,,,,,,,,,,,,Matches
854,Giovanni Fabbian,it ITA,MF,Fiorentina,it Serie A,22,2003,5.2,,,,,,,,,,,,,,,,,,,,,Matches
855,Alieu Fadera,gm GAM,FW,Sassuolo,it Serie A,23,2001,11.0,,,,,,,,,,,,,,,,,,,,,Matches
856,Wout Faes,be BEL,DF,Monaco,fr Ligue 1,27,1998,12.7,,,,,,,,,,,,,,,,,,,,,Matches
857,Nicolò Fagioli,it ITA,MF,Fiorentina,it Serie A,24,2001,28.4,,,,,,,,,,,,,,,,,,,,,Matches
858,Romain Faivre,fr FRA,"MF,FW",Auxerre,fr Ligue 1,27,1998,6.5,,,,,,,,,,,,,,,,,,,,,Matches
859,Omar Falah,es ESP,DF,Oviedo,es La Liga,21,2003,0.2,,,,,,,,,,,,,,,,,,,,,Matches
860,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,30,1995,38.0,,,,,,,,,,,,,,,,,,,,,Matches
861,Ansu Fati,es ESP,"MF,FW",Monaco,fr Ligue 1,22,2002,12.1,,,,,,,,,,,,,,,,,,,,,Matches
862,Abdoulaye Faye,sn SEN,DF,Lorient,fr Ligue 1,20,2004,16.0,,,,,,,,,,,,,,,,,,,,,Matches
863,Jacopo Fazzini,it ITA,"MF,FW",Fiorentina,it Serie A,22,2003,6.5,,,,,,,,,,,,,,,,,,,,,Matches
864,Aleix Febas,es ESP,MF,Elche,es La Liga,29,1996,35.1,,,,,,,,,,,,,,,,,,,,,Matches
865,Mattia Felici,it ITA,MF,Cagliari,it Serie A,24,2001,4.6,,,,,,,,,,,,,,,,,,,,,Matches
866,Luiz Felipe,it ITA,DF,Rayo Vallecano,es La Liga,28,1997,5.2,,,,,,,,,,,,,,,,,,,,,Matches
867,Pedro Felipe,br BRA,DF,Sassuolo,it Serie A,21,2004,1.4,,,,,,,,,,,,,,,,,,,,,Matches
868,Frank Feller,de GER,GK,Heidenheim,de Bundesliga,21,2004,3.0,,,,,,,,,,,,,,,,,,,,,Matches
869,Robin Fellhauer,de GER,MF,Augsburg,de Bundesliga,27,1998,31.1,,,,,,,,,,,,,,,,,,,,,Matches
870,Kiko Femenía,es ESP,"DF,MF",Getafe,es La Liga,34,1991,22.3,,,,,,,,,,,,,,,,,,,,,Matches
871,Evan Ferguson,ie IRL,FW,Roma,it Serie A,20,2004,8.6,,,,,,,,,,,,,,,,,,,,,Matches
872,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,25,1999,17.8,,,,,,,,,,,,,,,,,,,,,Matches
873,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,30,1994,34.0,,,,,,,,,,,,,,,,,,,,,Matches
874,Mateus Fernandes,pt POR,MF,West Ham,eng Premier League,21,2004,33.5,,,,,,,,,,,,,,,,,,,,,Matches
875,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,34,1991,1.5,,,,,,,,,,,,,,,,,,,,,Matches
876,Dro Fernández,es ESP,MF,Barcelona,es La Liga,17,2008,1.0,,,,,,,,,,,,,,,,,,,,,Matches
877,Dro Fernández,es ESP,MF,PSG,fr Ligue 1,17,2008,7.6,,,,,,,,,,,,,,,,,,,,,Matches
878,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,24,2001,34.6,,,,,,,,,,,,,,,,,,,,,Matches
879,Ezequiél Fernández,ar ARG,MF,Leverkusen,de Bundesliga,23,2002,10.9,,,,,,,,,,,,,,,,,,,,,Matches
880,Manu Fernández,es ESP,DF,Celta Vigo,es La Liga,24,2001,8.4,,,,,,,,,,,,,,,,,,,,,Matches
881,Pelayo Fernandez,es ESP,DF,Rayo Vallecano,es La Liga,22,2003,0.5,,,,,,,,,,,,,,,,,,,,,Matches
882,Roberto Férnandez,es ESP,FW,Espanyol,es La Liga,23,2002,26.5,,,,,,,,,,,,,,,,,,,,,Matches
883,Thiago Fernández,ar ARG,"MF,FW",Oviedo,es La Liga,21,2004,9.1,,,,,,,,,,,,,,,,,,,,,Matches
884,Toni Fernández,es ESP,FW,Barcelona,es La Liga,17,2008,0.5,,,,,,,,,,,,,,,,,,,,,Matches
885,Matias Fernandez-Pardo,be BEL,"FW,MF",Lille,fr Ligue 1,20,2005,26.3,,,,,,,,,,,,,,,,,,,,,Matches
886,Álvaro Fidalgo,mx MEX,MF,Real Betis,es La Liga,28,1997,6.0,,,,,,,,,,,,,,,,,,,,,Matches
887,Seydou Fini,it ITA,FW,Genoa,it Serie A,19,2006,0.4,,,,,,,,,,,,,,,,,,,,,Matches
888,Max Finkgräfe,de GER,DF,RB Leipzig,de Bundesliga,21,2004,5.6,,,,,,,,,,,,,,,,,,,,,Matches
889,Junior Firpo,do DOM,DF,Real Betis,es La Liga,28,1996,9.2,,,,,,,,,,,,,,,,,,,,,Matches
890,Jonathan Fischer,dk DEN,GK,Metz,fr Ligue 1,23,2001,26.2,,,,,,,,,,,,,,,,,,,,,Matches
891,Kilian Fischer,de GER,DF,Wolfsburg,de Bundesliga,24,2000,8.9,,,,,,,,,,,,,,,,,,,,,Matches
892,Mark Flekken,nl NED,GK,Leverkusen,de Bundesliga,32,1993,23.7,,,,,,,,,,,,,,,,,,,,,Matches
893,Zian Flemming,nl NED,FW,Burnley,eng Premier League,26,1998,19.7,,,,,,,,,,,,,,,,,,,,,Matches
894,Jack Fletcher,eng ENG,MF,Manchester Utd,eng Premier League,18,2007,1.2,,,,,,,,,,,,,,,,,,,,,Matches
895,Tyler Fletcher,sct SCO,MF,Manchester Utd,eng Premier League,18,2007,0.2,,,,,,,,,,,,,,,,,,,,,Matches
896,Romano Floriani,it ITA,MF,Cremonese,it Serie A,22,2003,13.0,,,,,,,,,,,,,,,,,,,,,Matches
897,Phil Foden,eng ENG,MF,Manchester City,eng Premier League,25,2000,23.2,,,,,,,,,,,,,,,,,,,,,Matches
898,Malick Fofana,be BEL,"MF,FW",Lyon,fr Ligue 1,20,2005,8.3,,,,,,,,,,,,,,,,,,,,,Matches
899,Rayan Fofana,fr FRA,"FW,MF",Lens,fr Ligue 1,19,2006,8.9,,,,,,,,,,,,,,,,,,,,,Matches
900,Sadik Fofana,tg TOG,MF,Lecce,it Serie A,22,2003,0.9,,,,,,,,,,,,,,,,,,,,,Matches
901,Seko Fofana,ci CIV,MF,Rennes,fr Ligue 1,30,1995,7.3,,,,,,,,,,,,,,,,,,,,,Matches
902,Wesley Fofana,fr FRA,DF,Chelsea,eng Premier League,24,2000,19.1,,,,,,,,,,,,,,,,,,,,,Matches
903,Youssouf Fofana,fr FRA,MF,Milan,it Serie A,26,1999,24.5,,,,,,,,,,,,,,,,,,,,,Matches
904,Jonas Föhrenbach,de GER,"DF,MF",Heidenheim,de Bundesliga,29,1996,25.8,,,,,,,,,,,,,,,,,,,,,Matches
905,Francesco Folino,it ITA,DF,Cremonese,it Serie A,23,2002,8.0,,,,,,,,,,,,,,,,,,,,,Matches
