Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec,Matches
97,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,23,2002,0.4,,,,,,,,,,,,,,,,,,,,,Matches
98,Alysson,br BRA,MF,Aston Villa,eng Premier League,19,2006,0.5,,,,,,,,,,,,,,,,,,,,,Matches
99,Ayoube Amaimouni,ma MAR,"MF,FW",Frankfurt,de Bundesliga,20,2004,6.5,,,,,,,,,,,,,,,,,,,,,Matches
100,Jaydon Amauri Banel,nl NED,"FW,MF",Burnley,eng Premier League,20,2004,0.1,,,,,,,,,,,,,,,,,,,,,Matches
101,Giuseppe Ambrosino,it ITA,FW,Napoli,it Serie A,21,2003,0.4,,,,,,,,,,,,,,,,,,,,,Matches
102,Zeki Amdouni,ch SUI,"FW,MF",Burnley,eng Premier League,24,2000,0.8,,,,,,,,,,,,,,,,,,,,,Matches
103,Aurèle Amenda,ch SUI,DF,Frankfurt,de Bundesliga,22,2003,18.6,,,,,,,,,,,,,,,,,,,,,Matches
104,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,27,1998,21.8,,,,,,,,,,,,,,,,,,,,,Matches
105,Michael Amir Murillo,pa PAN,"DF,MF",Marseille,fr Ligue 1,29,1996,11.0,,,,,,,,,,,,,,,,,,,,,Matches
106,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,28,1996,23.1,,,,,,,,,,,,,,,,,,,,,Matches
107,Samuel Amo-Ameyaw,eng ENG,"MF,DF",Strasbourg,fr Ligue 1,19,2006,11.6,,,,,,,,,,,,,,,,,,,,,Matches
108,Amorim,br BRA,MF,Genoa,it Serie A,20,2005,6.1,,,,,,,,,,,,,,,,,,,,,Matches
109,Mathis Amougou,fr FRA,MF,Strasbourg,fr Ligue 1,19,2006,4.5,,,,,,,,,,,,,,,,,,,,,Matches
110,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,de Bundesliga,25,2000,21.3,,,,,,,,,,,,,,,,,,,,,Matches
111,Ethan Ampadu,wls WAL,MF,Leeds United,eng Premier League,24,2000,34.7,,,,,,,,,,,,,,,,,,,,,Matches
112,Sofyan Amrabat,ma MAR,MF,Real Betis,es La Liga,28,1996,14.4,,,,,,,,,,,,,,,,,,,,,Matches
113,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,29,1996,31.9,,,,,,,,,,,,,,,,,,,,,Matches
114,Elliot Anderson,eng ENG,MF,Nottingham,eng Premier League,22,2002,37.0,,,,,,,,,,,,,,,,,,,,,Matches
115,Tomoya Ando,jp JPN,DF,St Pauli,de Bundesliga,26,1999,14.0,,,,,,,,,,,,,,,,,,,,,Matches
116,Nícolas Andrade,br BRA,GK,Pisa,it Serie A,37,1988,6.0,,,,,,,,,,,,,,,,,,,,,Matches
117,André,br BRA,MF,Wolves,eng Premier League,24,2001,30.7,,,,,,,,,,,,,,,,,,,,,Matches
118,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,34,1990,25.9,,,,,,,,,,,,,,,,,,,,,Matches
119,Robert Andrich,de GER,"DF,MF",Leverkusen,de Bundesliga,30,1994,28.3,,,,,,,,,,,,,,,,,,,,,Matches
120,Manuel Ángel,es ESP,MF,Real Madrid,es La Liga,21,2004,1.1,,,,,,,,,,,,,,,,,,,,,Matches
121,Miguel Ángel Rubio,es ESP,DF,Espanyol,es La Liga,27,1998,2.3,,,,,,,,,,,,,,,,,,,,,Matches
122,Miguel Ángel Sierra,es ESP,FW,Sevilla,es La Liga,21,2004,0.7,,,,,,,,,,,,,,,,,,,,,Matches
123,Angeliño,es ESP,MF,Roma,it Serie A,28,1997,4.6,,,,,,,,,,,,,,,,,,,,,Matches
124,Samuele Angori,it ITA,MF,Pisa,it Serie A,21,2003,28.9,,,,,,,,,,,,,,,,,,,,,Matches
125,Frank Anguissa,cm CMR,MF,Napoli,it Serie A,29,1995,14.0,,,,,,,,,,,,,,,,,,,,,Matches
126,Nilson Angulo,ec ECU,MF,Sunderland,eng Premier League,22,2003,4.5,,,,,,,,,,,,,,,,,,,,,Matches
127,Faustino Anjorin,eng ENG,MF,Torino,it Serie A,23,2001,3.2,,,,,,,,,,,,,,,,,,,,,Matches
128,Ilyas Ansah,de GER,"MF,FW",Union Berlin,de Bundesliga,20,2004,21.0,,,,,,,,,,,,,,,,,,,,,Matches
129,Aaron Anselmino,ar ARG,DF,Dortmund,de Bundesliga,20,2005,4.1,,,,,,,,,,,,,,,,,,,,,Matches
130,Aaron Anselmino,ar ARG,DF,Strasbourg,fr Ligue 1,20,2005,0.2,,,,,,,,,,,,,,,,,,,,,Matches
131,Andrés Antañón,es ESP,FW,Celta Vigo,es La Liga,18,2007,0.7,,,,,,,,,,,,,,,,,,,,,Matches
132,Jaidon Anthony,eng ENG,MF,Burnley,eng Premier League,25,1999,30.2,,,,,,,,,,,,,,,,,,,,,Matches
133,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,29,1996,32.0,,,,,,,,,,,,,,,,,,,,,Matches
134,Kyllian Antonio,fr FRA,DF,Lens,fr Ligue 1,17,2008,2.1,,,,,,,,,,,,,,,,,,,,,Matches
135,Antoniu,es ESP,MF,Espanyol,es La Liga,22,2002,3.2,,,,,,,,,,,,,,,,,,,,,Matches
136,Antony,br BRA,"MF,FW",Real Betis,es La Liga,25,2000,27.2,,,,,,,,,,,,,,,,,,,,,Matches
137,Youssef El-Arabi,ma MAR,FW,Nantes,fr Ligue 1,38,1987,10.5,,,,,,,,,,,,,,,,,,,,,Matches
138,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,29,1995,36.1,,,,,,,,,,,,,,,,,,,,,Matches
139,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,23,2002,30.8,,,,,,,,,,,,,,,,,,,,,Matches
140,Juan Arango,ve VEN,MF,Girona,es La Liga,19,2006,0.2,,,,,,,,,,,,,,,,,,,,,Matches
141,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,26,1999,11.9,,,,,,,,,,,,,,,,,,,,,Matches
142,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,29,1996,22.7,,,,,,,,,,,,,,,,,,,,,Matches
143,Antonio Arena,it ITA,FW,Roma,it Serie A,16,2009,0.3,,,,,,,,,,,,,,,,,,,,,Matches
144,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,32,1993,20.0,,,,,,,,,,,,,,,,,,,,,Matches
