Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Matches_shooting,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches_passing,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches_defense,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec,Matches_possession,nombre_normalizado,xG,xA,npxG,xGChain,xGBuildup,Pos_Principal,KPI_Goles_90,KPI_npxG_90,KPI_G_menos_xG_90,KPI_Conversion_Tiros,KPI_Regates_Exitosos_Pct,KPI_Asistencias_90,KPI_xA_90,KPI_PasesClave_90,KPI_DistPaseProgresivo_90,KPI_DistConduccionProgresiva_90,KPI_PasesCompletados_Pct,KPI_AccionesDefensivas_90,KPI_DuelosGanados_Pct,KPI_Despejes_90,KPI_Bloqueos_90,KPI_Errores_90
2602,Fikayo Tomori,eng ENG,DF,Milan,it Serie A,27.0,1997.0,33,31,2554.0,28.4,0.0,2.0,2,0,0,0,8,1,0.0,0.07,0.07,0.0,0.07,Matches,0,9,2,22.2,0.32,0.07,0.0,0.0,0,0,Matches,,,,,,,,,,,,,,,2.0,,,,,,Matches,,40,,,,,,,,,,,28,,,,Matches,,,,,,,,,,,,,,,,,,,,,Matches,fikayo tomori,0.594410877674818,1.0016300892457366,0.594410877674818,8.909132670611143,7.46826982870698,DF,0.0,0.02092996048150768,-0.02092996048150768,0.0,,0.07042253521126761,0.0352686651142865,,,,,,,,,
2603,Sandro Tonali,it ITA,MF,Newcastle,eng Premier League,25.0,2000.0,35,31,2534.0,28.2,0.0,2.0,2,0,0,0,4,0,0.0,0.07,0.07,0.0,0.07,Matches,0,37,8,21.6,1.31,0.28,0.0,0.0,0,0,Matches,,,,,,,,,,,,,,,2.0,,,,,,Matches,,25,,,,,,,,,,,28,,,,Matches,,,,,,,,,,,,,,,,,,,,,Matches,sandro tonali,1.4170023752376435,3.7605556417256594,1.4170023752376435,10.739618219435217,8.412985239177942,MF,0.0,0.05024831117863984,-0.05024831117863984,0.0,,0.07092198581560284,0.13335303694062622,,,,,,,,,
2605,Keke Topp,de GER,FW,Werder Bremen,de Bundesliga,21.0,2004.0,20,7,638.0,7.1,1.0,1.0,2,1,0,0,4,0,0.14,0.14,0.28,0.14,0.28,Matches,1,25,3,12.0,3.53,0.42,0.04,0.33,0,0,Matches,,,,,,,,,,,,,,,1.0,,,,,,Matches,,5,,,,,,,,,,,1,,,,Matches,,,,,,,,,,,,,,,,,,,,,Matches,keke topp,2.021150179207325,0.873332935385406,2.021150179207325,4.603332705795765,2.0922563280910254,FW,0.14084507042253522,0.28466903932497534,-0.14382396890244015,0.04,,0.14084507042253522,0.1230046387866769,,,,,,,,,
2606,Pablo Torre,es ESP,"MF,FW",Mallorca,es La Liga,22.0,2003.0,35,19,1599.0,17.8,4.0,4.0,8,4,0,0,4,0,0.23,0.23,0.45,0.23,0.45,Matches,4,25,12,48.0,1.41,0.68,0.16,0.33,0,0,Matches,,,,,,,,,,,,,,,4.0,,,,,,Matches,,17,,,,,,,,,,,9,,,,Matches,,,,,,,,,,,,,,,,,,,,,Matches,pablo torre,2.8149523828178644,2.9544795835390687,2.8149523828178644,8.271478340029716,4.640594145283103,MF,0.2247191011235955,0.15814339229313845,0.06657570883045705,0.16,,0.2247191011235955,0.16598199907522856,,,,,,,,,
2608,Ferran Torres,es ESP,FW,Barcelona,es La Liga,25.0,2000.0,33,23,1965.0,21.8,16.0,2.0,18,16,0,0,2,0,0.73,0.09,0.82,0.73,0.82,Matches,16,69,37,53.6,3.16,1.69,0.23,0.43,0,0,Matches,,,,,,,,,,,,,,,2.0,,,,,,Matches,,6,,,,,,,,,,,4,,,,Matches,,,,,,,,,,,,,,,,,,,,,Matches,ferran torres,16.183371974155307,3.157755734398961,16.183371974155307,23.031330455094576,5.379237103275955,FW,0.7339449541284403,0.7423565125759315,-0.008411558447491137,0.23,,0.09174311926605504,0.14485118047701656,,,,,,,,,
2609,Pau Torres,es ESP,DF,Aston Villa,eng Premier League,28.0,1997.0,21,18,1676.0,18.6,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,0,9,1,11.1,0.48,0.05,0.0,0.0,0,0,Matches,,,,,,,,,,,,,,,0.0,,,,,,Matches,,14,,,,,,,,,,,11,,,,Matches,,,,,,,,,,,,,,,,,,,,,Matches,pau torres,1.5826024003326893,0.006894074846059,1.5826024003326893,4.503719758242369,4.429494839161634,DF,0.0,0.08508615055552092,-0.08508615055552092,0.0,,0.0,0.00037064918527198923,,,,,,,,,
2610,Lucas Torró,es ESP,MF,Osasuna,es La Liga,31.0,1994.0,34,31,2293.0,25.5,0.0,1.0,1,0,0,0,6,0,0.0,0.04,0.04,0.0,0.04,Matches,0,29,9,31.0,1.14,0.35,0.0,0.0,0,0,Matches,,,,,,,,,,,,,,,1.0,,,,,,Matches,,19,,,,,,,,,,,30,,,,Matches,,,,,,,,,,,,,,,,,,,,,Matches,lucas torro,2.2390968278050423,1.2621251428499818,2.2390968278050423,5.123437849804759,3.7546714833006254,MF,0.0,0.08780771873745263,-0.08780771873745263,0.0,,0.0392156862745098,0.04949510364117576,,,,,,,,,
2611,Jordan Torunarigha,de GER,DF,Hamburger SV,de Bundesliga,27.0,1997.0,24,21,1962.0,21.8,0.0,0.0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,0,5,1,20.0,0.23,0.05,0.0,0.0,0,0,Matches,,,,,,,,,,,,,,,0.0,,,,,,Matches,,22,,,,,,,,,,,30,,,,Matches,,,,,,,,,,,,,,,,,,,,,Matches,jordan torunarigha,0.309758860617876,0.1416927427053451,0.309758860617876,2.372671600896865,2.242847737390548,DF,0.0,0.01420912204669156,-0.01420912204669156,0.0,,0.0,0.006499667096575463,,,,,,,,,
2613,Abdoulaye Touré,gn GUI,MF,Le Havre,fr Ligue 1,31.0,1994.0,11,8,740.0,8.2,2.0,0.0,2,2,0,1,2,0,0.24,0.0,0.24,0.24,0.24,Matches,2,13,4,30.8,1.58,0.49,0.15,0.5,0,1,Matches,,,,,,,,,,,,,,,0.0,,,,,,Matches,,6,,,,,,,,,,,10,,,,Matches,,,,,,,,,,,,,,,,,,,,,Matches,abdoulaye toure,1.529643937945366,0.1853813733905553,0.769548799842596,2.433296410366893,1.6395775396376848,MF,0.24390243902439027,0.09384741461495075,0.057360495372516355,0.15,,0.0,0.02260748455982382,,,,,,,,,
2614,Alpha Touré,sn SEN,MF,Metz,fr Ligue 1,19.0,2006.0,30,16,1606.0,17.8,0.0,1.0,1,0,0,0,5,0,0.0,0.06,0.06,0.0,0.06,Matches,0,17,1,5.9,0.95,0.06,0.0,0.0,0,0,Matches,,,,,,,,,,,,,,,1.0,,,,,,Matches,,23,,,,,,,,,,,10,,,,Matches,,,,,,,,,,,,,,,,,,,,,Matches,alpha toure,1.0313540250062945,0.4349074102938175,1.0313540250062945,3.260238066315651,2.2326008649542928,MF,0.0,0.05794123735990418,-0.05794123735990418,0.0,,0.056179775280898875,0.024433000578304356,,,,,,,,,
